Actividad_economica_agragada,Sector
"Agricultura, Silvicultura, Ganadería y Pesca",Otros
"Alimentos, Bebidas y Tabaco",Otros
Comercio,Otros
Comunicaciones y Telecomunicaciones,Otros
Construcción,Construccion
Educativo,Otros
Gobierno Federal,Otros
Hoteles y Restaurantes,Otros
Industria Automotriz,Industrias manufactureras
Industria Materiales de Construcción,Industrias manufactureras
Industria Química y Farmacéutica,Industrias manufactureras
Industria Textil y de Calzado,Industrias manufactureras
Organismos Internacionales,Otros
"Petróleo, Minería, Gas y Energía",Mineria y energia
Resto Industria,Actividades secundarias
Salud,Otros
Servicios Comunales y Sociales,Otros
Servicios de Esparcimiento y otros Servicios Recreativo,Otros
Servicios Financieros (No Bancarios),Otros
Servicios Profesionales y Técnicos,Otros
Transporte,Otros
Bancario,Otros
Minería,Mineria y energia
"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final",Mineria y energia
Construcción,Construccion
Industrias manufactureras,Industrias manufactureras
Actividades secundarias,Actividades secundarias
